COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE(REER),SCALE,PRECISION,DECIMALS_DISPLAYED,DERIVATION_TYPE,OVERLAP,IFS_FLAG,STATUS,METHODOLOGY,ACCESS_SHARING_LEVEL,SECURITY_CLASSIFICATION
Pakistan,Domestic currency per US Dollar,Period average,Annual,2003,57.75199667,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2004,58.25786333,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2005,59.514475,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2006,60.271335,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2007,60.73851583,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2008,70.40803333,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2009,81.72123333,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2010,85.61946667,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2011,85.51511667,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2012,93.39483333,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2013,99.55180833,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2014,102.85725,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2015,101.2845333,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2016,104.2444917,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2017,105.5149,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2018,121.0019833,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2019,141.392975,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2020,160.204425,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2021,168.1861583,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2022,205.2860833,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2023,286.4723167,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
Pakistan,Domestic currency per US Dollar,Period average,Annual,2024,277.8544917,Units,,,Raw data (no derivation),Overlapping Indicator,True,,,Public (Unrestricted),Public or Unrestricted
