COUNTRY	INDICATOR	TYPE_OF_TRANSFORMATION	FREQUENCY	TIME_PERIOD	OBS_VALUE(REER)	SCALE	PRECISION	DECIMALS_DISPLAYED	DERIVATION_TYPE	OVERLAP	IFS_FLAG	STATUS	METHODOLOGY	ACCESS_SHARING_LEVEL	SECURITY_CLASSIFICATION
Pakistan	Domestic currency per US Dollar	Period average	Annual	2003	57.75199667	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2004	58.25786333	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2005	59.514475	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2006	60.271335	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2007	60.73851583	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2008	70.40803333	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2009	81.71289167	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2010	85.19381633	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2011	86.34338333	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2012	93.39519722	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2013	101.6288992	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2014	101.1000884	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2015	102.7692716	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2016	104.769117	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2017	105.4551621	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2018	121.8240689	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2019	150.0362538	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2020	161.8384797	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2021	162.9062537	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2022	204.8671875	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2023	280.3561117	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
Pakistan	Domestic currency per US Dollar	Period average	Annual	2024	278.5807162	Units			Raw data (no derivation)	Overlapping Indicator	TRUE			Public (Unrestricted)	Public or Unrestricted
